County,Establishments
Arkansas,494
Ashley,344
Baxter,1088
Benton,7298
Boone,857
Bradley,246
Calhoun,56
Carroll,709
Chicot,191
Clark,531
Clay,281
Cleburne,596
Cleveland,74
Columbia,533
Conway,406
Craighead,2651
Crawford,1056
Crittenden,834
Cross,365
Dallas,171
Desha,284
Drew,412
Faulkner,2855
Franklin,298
Fulton,165
Garland,2858
Grant,291
Greene,794
Hempstead,375
Hot Spring,504
Howard,264
Independence,797
Izard,212
Jackson,307
Jefferson,1229
Johnson,381
Lafayette,104
Lawrence,279
Lee,112
Lincoln,153
Little River,168
Logan,360
Lonoke,1109
Madison,227
Marion,239
Miller,719
Mississippi,752
Monroe,183
Montgomery,133
Nevada,120
Newton,87
Ouachita,479
Perry,121
Phillips,339
Pike,219
Poinsett,327
Polk,418
Pope,1549
Prairie,139
Pulaski,12300
Randolph,318
Saline,2204
Scott,137
Searcy,119
Sebastian,3322
Sevier,254
Sharp,312
St. Francis,438
Stone,241
Union,1036
Van Buren,308
Washington,5919
White,1602
Woodruff,128
Yell,313
