County,SAIDI
Arkansas County,0.0
Ashley County,0.0
Baxter County,0.0
Benton County,0.0
Boone County,0.0
Bradley County,0.0
Calhoun County,0.0
Carroll County,0.0
Chicot County,0.0
Clark County,16.31
Clay County,0.0
Cleburne County,0.0
Cleveland County,0.0
Columbia County,2.73
Conway County,0.0
Craighead County,0.0
Crawford County,0.0
Crittenden County,0.0
Cross County,0.0
Dallas County,0.25
Desha County,0.0
Drew County,0.0
Faulkner County,0.0
Franklin County,0.0
Fulton County,0.0
Garland County,0.0
Grant County,0.0
Greene County,0.0
Hempstead County,0.23
Hot Spring County,200.38
Howard County,25.73
Independence County,0.0
Izard County,0.0
Jackson County,0.0
Jefferson County,0.0
Johnson County,0.0
Lafayette County,4.52
Lawrence County,0.0
Lee County,0.0
Lincoln County,0.0
Little River County,0.0
Logan County,0.0
Lonoke County,0.0
Madison County,0.0
Marion County,0.0
Miller County,0.0
Mississippi County,0.0
Monroe County,0.0
Montgomery County,0.1
Nevada County,77.37
Newton County,0.0
Ouachita County,0.0
Perry County,0.0
Phillips County,0.0
Pike County,37.14
Poinsett County,0.0
Polk County,0.0
Pope County,0.0
Prairie County,0.0
Pulaski County,0.0
Randolph County,0.0
Saline County,0.0
Scott County,0.0
Searcy County,0.0
Sebastian County,0.0
Sevier County,0.0
Sharp County,0.0
St. Francis County,0.0
Stone County,0.0
Union County,0.0
Van Buren County,0.0
Washington County,0.0
White County,0.0
Woodruff County,0.0
Yell County,0.0
