County,Total ESTAB
Alameda County,630802
Alpine County,1595
Amador County,19783
Butte County,92095
Calaveras County,28206
Colusa County,8236
Contra Costa County,426663
Del Norte County,11243
El Dorado County,95113
Fresno County,342003
Glenn County,11045
Humboldt County,63323
Imperial County,57582
Inyo County,9507
Kern County,304489
Kings County,47559
Lake County,34937
Lassen County,12240
Los Angeles County,3624084
Madera County,50374
Marin County,111868
Mariposa County,9875
Mendocino County,41543
Merced County,90325
Modoc County,4782
Mono County,13717
Monterey County,144659
Napa County,55689
Nevada County,54567
Orange County,1138566
Placer County,176242
Plumas County,15652
Riverside County,860042
Sacramento County,593625
San Benito County,21555
San Bernardino County,739241
San Diego County,1240607
San Francisco County,411624
San Joaquin County,256826
San Luis Obispo County,124871
San Mateo County,286177
Santa Barbara County,159775
Santa Clara County,695145
Santa Cruz County,107577
Shasta County,80587
Sierra County,2170
Siskiyou County,23073
Solano County,164223
Sonoma County,206327
Stanislaus County,184240
Sutter County,34733
Tehama County,27538
Trinity County,8131
Tulare County,153282
Tuolumne County,31582
Ventura County,294659
Yolo County,81623
Yuba County,30973
