County,Household Units,Businesses,Total
Alamance,67487,3493,70980
Alexander,16194,582,16776
Alleghany,8124,258,8382
Anson,11546,380,11926
Ashe,17413,547,17960
Avery,13947,510,14457
Beaufort,25055,1097,26152
Bertie,9790,281,10071
Bladen,17674,531,18205
Brunswick,79304,2792,82096
Buncombe,114827,9401,124228
Burke,40764,1490,42254
Cabarrus,73570,4966,78536
Caldwell,37619,1365,38984
Camden,4117,123,4240
Carteret,48571,2108,50679
Caswell,10601,241,10842
Catawba,67808,4261,72069
Chatham,29322,1581,30903
Cherokee,17613,607,18220
Chowan,7286,359,7645
Clay,7178,226,7404
Cleveland,43303,1974,45277
Clolumbus,25950,952,26902
Craven,45547,2187,47734
Cumberland,140410,5832,146242
Currituck,14705,692,15397
Dare,33719,2000,35719
Davidson,72793,2860,75653
Davie,18210,859,19069
Duplin,25612,878,26490
Durham,123761,7914,131675
Edgecombe,24729,716,25445
Forsyth,158744,8828,167572
Franklin,26710,1150,27860
Gaston,89356,4468,93824
Gates,5211,120,5331
Graham,5934,162,6096
Granville,23025,917,23942
Greene,8163,284,8447
Guilford,220701,14096,234797
Halifax,25759,930,26689
Harnett,48122,1836,49958
Haywood,35068,1451,36519
Henderson,55050,2947,57997
Hertford,10570,463,11033
Hoke,19147,491,19638
Hyde,3433,148,3581
Iredell,69559,5184,74743
Jackson,26186,1036,27222
Johnston,68748,3768,72516
Jones,4866,133,4999
Lee,24196,1390,25586
Lenoir,27321,1179,28500
Lincoln,33772,1909,35681
Macon,25275,1213,26488
Madison,10644,369,11013
Martin,11632,425,12057
Mcdowell,20862,809,21671
Meckelnburg,406894,35062,441956
Mitchell,8738,376,9114
Montgomery,15952,502,16454
Moore,44547,2386,46933
Nash,42343,2085,44428
New Hanover,103031,8184,111215
Northampton,11584,256,11840
Onslow,72570,3004,75574
Orange,56108,3330,59438
Pamlico,7561,245,7806
Pasquotank,16867,918,17785
Pender,26916,1278,28194
Perquimans,7018,183,7201
Person,18198,704,18902
Pitt,75844,3718,79562
Polk,11446,467,11913
Randolph,61186,2587,63773
Richmond,20843,797,21640
Robeson,52526,1795,54321
Rockingham,43639,1614,45253
Rowan,60148,2766,62914
Rutherford,33863,1242,35105
Sampson,27130,1005,28135
Scotland,15184,612,15796
Stanly,27178,1388,28566
Stokes,21858,654,22512
Surry,33580,1624,35204
Swain,8767,399,9166
Transylvania,19285,930,20215
Tyrrell,1980,67,2047
Union,74361,5373,79734
Vance,20013,850,20863
Wake,385064,32026,417090
Warren,11767,273,12040
Washington,6450,224,6674
Watauga,32561,1679,34240
Wayne,53074,2152,55226
Wilkes,33021,1150,34171
Wilson,35643,1816,37459
Yadkin,17292,617,17909
Yancey,11035,342,11377
