County,SAIFI,FIPS,State
Alamance,1.76723,37001,North Carolina
Alexander,1.61872,37003,North Carolina
Alleghany,1.02,37005,North Carolina
Anson,0,37007,North Carolina
Ashe,1.02,37009,North Carolina
Avery,1.92231,37011,North Carolina
Beaufort,2.00309,37013,North Carolina
Bertie,1.65916,37015,North Carolina
Bladen,1.9473,37017,North Carolina
Brunswick,1.9473,37019,North Carolina
Buncombe,1.79438,37021,North Carolina
Burke,1.62168,37023,North Carolina
Cabarrus,1.60867,37025,North Carolina
Caldwell,1.61146,37027,North Carolina
Camden,0,37029,North Carolina
Carteret,1.97,37031,North Carolina
Caswell,1.76457,37033,North Carolina
Catawba,1.631,37035,North Carolina
Chatham,1.75589,37037,North Carolina
Cherokee,1.63,37039,North Carolina
Chowan,1.657,37041,North Carolina
Clay,1.63,37043,North Carolina
Cleveland,1.62168,37045,North Carolina
Columbus,1.9473,37047,North Carolina
Craven,1.99953,37049,North Carolina
Cumberland,1.91208,37051,North Carolina
Currituck,0,37053,North Carolina
Dare,4.283,37055,North Carolina
Davidson,1.64933,37057,North Carolina
Davie,1.63913,37059,North Carolina
Duplin,1.97,37061,North Carolina
Durham,1.76128,37063,North Carolina
Edgecombe,1.9385,37065,North Carolina
Forsyth,1.65348,37067,North Carolina
Franklin,1.95526,37069,North Carolina
Gaston,1.631,37071,North Carolina
Gates,1.657,37073,North Carolina
Graham,1.63,37075,North Carolina
Granville,1.76128,37077,North Carolina
Greene,1.94844,37079,North Carolina
Guilford,1.77367,37081,North Carolina
Halifax,1.96455,37083,North Carolina
Harnett,1.93866,37085,North Carolina
Haywood,2.02977,37087,North Carolina
Henderson,1.76825,37089,North Carolina
Hertford,1.657,37091,North Carolina
Hoke,1.95631,37093,North Carolina
Hyde,0,37095,North Carolina
Iredell,1.62904,37097,North Carolina
Jackson,1.79438,37099,North Carolina
Johnston,1.93475,37101,North Carolina
Jones,1.96431,37103,North Carolina
Lee,1.93866,37105,North Carolina
Lenoir,1.96126,37107,North Carolina
Lincoln,1.631,37109,North Carolina
McDowell,1.76049,37111,North Carolina
Macon,1.6756,37113,North Carolina
Madison,2.02977,37115,North Carolina
Martin,0,37117,North Carolina
Mecklenburg,1.62092,37119,North Carolina
Mitchell,1.94184,37121,North Carolina
Montgomery,1.99048,37123,North Carolina
Moore,1.96423,37125,North Carolina
Nash,1.92547,37127,North Carolina
New Hanover,1.97,37129,North Carolina
Northampton,1.657,37131,North Carolina
Onslow,1.97,37133,North Carolina
Orange,1.76457,37135,North Carolina
Pamlico,2.00568,37137,North Carolina
Pasquotank,0,37139,North Carolina
Pender,1.97,37141,North Carolina
Perquimans,1.657,37143,North Carolina
Person,1.76457,37145,North Carolina
Pitt,1.8795,37147,North Carolina
Polk,1.62168,37149,North Carolina
Randolph,1.76517,37151,North Carolina
Richmond,2.00723,37153,North Carolina
Robeson,1.93531,37155,North Carolina
Rockingham,1.63913,37157,North Carolina
Rowan,1.626,37159,North Carolina
Rutherford,1.76049,37161,North Carolina
Sampson,1.97,37163,North Carolina
Scotland,1.99221,37165,North Carolina
Stanly,1.77019,37167,North Carolina
Stokes,1.64348,37169,North Carolina
Surry,1.63473,37171,North Carolina
Swain,1.63,37173,North Carolina
Transylvania,1.6756,37175,North Carolina
Tyrrell,0,37177,North Carolina
Union,1.63945,37179,North Carolina
Vance,1.95526,37181,North Carolina
Wake,1.76488,37183,North Carolina
Warren,1.97,37185,North Carolina
Washington,4.283,37187,North Carolina
Watauga,0.959248,37189,North Carolina
Wayne,1.94844,37191,North Carolina
Wilkes,1.62317,37193,North Carolina
Wilson,1.9463,37195,North Carolina
Yadkin,1.64348,37197,North Carolina
Yancey,1.97,37199,North Carolina
