ZCTA5CE20,ESTAB
10001,6396.0
10002,2685.0
10003,4087.0
10004,1449.0
10005,1305.0
10006,763.0
10007,1415.0
10009,1181.0
10010,2652.0
10011,3571.0
10012,2479.0
10013,4541.0
10014,2179.0
10016,4973.0
10017,4562.0
10018,5491.0
10019,4375.0
10020,722.0
10021,2296.0
10022,5475.0
10023,2275.0
10024,1845.0
10025,1943.0
10026,600.0
10027,1185.0
10028,1684.0
10029,1062.0
10030,334.0
10031,858.0
10032,823.0
10033,1017.0
10034,689.0
10035,648.0
10036,5715.0
10037,235.0
10038,1636.0
10039,246.0
10040,592.0
10044,112.0
10065,1574.0
10069,122.0
10075,899.0
10103,43.0
10110,88.0
10111,140.0
10112,108.0
10115,67.0
10119,206.0
10128,1571.0
10152,51.0
10153,95.0
10154,61.0
10162,16.0
10165,251.0
10167,90.0
10168,152.0
10169,128.0
10170,216.0
10171,67.0
10172,51.0
10173,29.0
10174,125.0
10177,63.0
10199,11.0
10271,75.0
10278,13.0
10279,104.0
10280,162.0
10282,113.0
10301,711.0
10302,451.0
10303,435.0
10304,740.0
10305,940.0
10306,1202.0
10307,294.0
10308,435.0
10309,910.0
10310,517.0
10311,26.0
10312,968.0
10314,1953.0
10451,839.0
10452,808.0
10453,760.0
10454,649.0
10455,769.0
10456,764.0
10457,884.0
10458,1088.0
10459,658.0
10460,644.0
10461,1295.0
10462,1118.0
10463,1139.0
10464,126.0
10465,543.0
10466,675.0
10467,1158.0
10468,833.0
10469,749.0
10470,347.0
10471,486.0
10472,618.0
10473,371.0
10474,649.0
10475,431.0
10501,22.0
10502,233.0
10503,5.0
10504,459.0
10505,63.0
10506,233.0
10507,310.0
10509,771.0
10510,403.0
10511,93.0
10512,629.0
10514,352.0
10516,256.0
10517,12.0
10518,61.0
10519,28.0
10520,402.0
10522,342.0
10523,641.0
10524,112.0
10526,41.0
10527,18.0
10528,538.0
10530,412.0
10532,359.0
10533,237.0
10535,78.0
10536,405.0
10537,22.0
10538,603.0
10540,18.0
10541,708.0
10542,11.0
10543,863.0
10545,4.0
10546,65.0
10547,223.0
10548,65.0
10549,864.0
10550,947.0
10552,290.0
10553,165.0
10560,124.0
10562,836.0
10566,760.0
10567,439.0
10570,460.0
10573,1335.0
10576,177.0
10577,322.0
10578,23.0
10579,187.0
10580,586.0
10583,1397.0
10588,78.0
10589,265.0
10590,183.0
10591,953.0
10594,259.0
10595,318.0
10596,31.0
10597,17.0
10598,773.0
10601,1354.0
10603,524.0
10604,625.0
10605,664.0
10606,465.0
10607,284.0
10701,1276.0
10703,290.0
10704,988.0
10705,595.0
10706,261.0
10707,266.0
10708,631.0
10709,303.0
10710,799.0
10801,1482.0
10803,474.0
10804,354.0
10805,276.0
10901,880.0
10910,
10911,7.0
10913,183.0
10914,19.0
10915,19.0
10916,106.0
10917,298.0
10918,325.0
10919,36.0
10920,256.0
10921,161.0
10922,33.0
10923,157.0
10924,498.0
10925,90.0
10926,78.0
10927,201.0
10928,73.0
10930,143.0
10931,36.0
10932,3.0
10933,3.0
10940,1290.0
10941,410.0
10950,1755.0
10952,1746.0
10953,20.0
10954,907.0
10956,1132.0
10958,73.0
10960,571.0
10962,254.0
10963,41.0
10964,36.0
10965,503.0
10968,73.0
10969,55.0
10970,334.0
10973,48.0
10974,86.0
10975,9.0
10976,62.0
10977,2061.0
10979,6.0
10980,293.0
10983,153.0
10984,35.0
10985,9.0
10986,27.0
10987,76.0
10988,9.0
10989,243.0
10990,538.0
10992,143.0
10993,127.0
10994,473.0
10996,35.0
10998,43.0
11001,737.0
11003,707.0
11004,281.0
11005,27.0
11010,668.0
11020,172.0
11021,1956.0
11023,351.0
11024,227.0
11030,883.0
11040,1555.0
11042,551.0
11050,1201.0
11096,358.0
11101,3064.0
11102,806.0
11103,1205.0
11104,616.0
11105,1087.0
11106,1173.0
11109,83.0
11201,3208.0
11203,908.0
11204,2402.0
11205,1691.0
11206,1640.0
11207,1096.0
11208,944.0
11209,1926.0
11210,1096.0
11211,3173.0
11212,805.0
11213,896.0
11214,2076.0
11215,2338.0
11216,1016.0
11217,1458.0
11218,1941.0
11219,3194.0
11220,2783.0
11221,932.0
11222,1918.0
11223,2295.0
11224,777.0
11225,905.0
11226,1376.0
11228,895.0
11229,2270.0
11230,2213.0
11231,1300.0
11232,1380.0
11233,579.0
11234,1757.0
11235,2908.0
11236,998.0
11237,1276.0
11238,1331.0
11239,115.0
11249,1219.0
11354,3872.0
11355,2422.0
11356,806.0
11357,1000.0
11358,1436.0
11359,
11360,357.0
11361,1189.0
11362,540.0
11363,165.0
11364,686.0
11365,833.0
11366,482.0
11367,726.0
11368,1554.0
11369,416.0
11370,375.0
11371,70.0
11372,1853.0
11373,1659.0
11374,1160.0
11375,2130.0
11377,1710.0
11378,1307.0
11379,646.0
11385,2168.0
11411,166.0
11412,317.0
11413,505.0
11414,427.0
11415,468.0
11416,456.0
11417,473.0
11418,835.0
11419,869.0
11420,512.0
11421,545.0
11422,343.0
11423,424.0
11424,3.0
11426,291.0
11427,231.0
11428,330.0
11429,280.0
11430,303.0
11432,1336.0
11433,357.0
11434,965.0
11435,986.0
11436,165.0
11439,25.0
11451,
11501,1158.0
11507,295.0
11509,77.0
11510,751.0
11514,361.0
11516,640.0
11518,244.0
11520,1341.0
11530,2178.0
11542,945.0
11545,437.0
11547,31.0
11548,207.0
11549,8.0
11550,1282.0
11552,660.0
11553,568.0
11554,947.0
11556,157.0
11557,491.0
11558,330.0
11559,499.0
11560,322.0
11561,908.0
11563,894.0
11565,176.0
11566,1095.0
11568,125.0
11569,42.0
11570,1186.0
11572,1056.0
11575,269.0
11576,566.0
11577,530.0
11579,189.0
11580,1062.0
11581,749.0
11590,1694.0
11596,370.0
11598,499.0
11691,571.0
11692,119.0
11693,172.0
11694,333.0
11697,48.0
11701,810.0
11702,578.0
11703,326.0
11704,1084.0
11705,253.0
11706,1723.0
11709,154.0
11710,1141.0
11713,255.0
11714,726.0
11715,125.0
11716,1059.0
11717,953.0
11718,86.0
11719,108.0
11720,598.0
11721,181.0
11722,602.0
11724,131.0
11725,1214.0
11726,512.0
11727,434.0
11729,1355.0
11730,416.0
11731,834.0
11732,114.0
11733,642.0
11735,1988.0
11738,392.0
11739,40.0
11740,258.0
11741,852.0
11742,329.0
11743,1976.0
11746,2014.0
11747,1985.0
11749,383.0
11751,370.0
11752,206.0
11753,1010.0
11754,401.0
11755,422.0
11756,837.0
11757,1171.0
11758,1410.0
11762,453.0
11763,782.0
11764,393.0
11765,33.0
11766,336.0
11767,372.0
11768,685.0
11769,267.0
11770,60.0
11771,438.0
11772,1385.0
11776,699.0
11777,449.0
11778,342.0
11779,1450.0
11780,565.0
11782,533.0
11783,491.0
11784,485.0
11786,132.0
11787,1428.0
11788,1508.0
11789,98.0
11790,485.0
11791,1303.0
11792,232.0
11793,829.0
11794,57.0
11795,619.0
11796,91.0
11797,770.0
11798,218.0
11801,1949.0
11803,1509.0
11804,119.0
11901,1252.0
11930,140.0
11931,63.0
11932,262.0
11933,184.0
11934,351.0
11935,153.0
11937,1067.0
11939,18.0
11940,183.0
11941,93.0
11942,173.0
11944,221.0
11946,660.0
11947,50.0
11948,34.0
11949,297.0
11950,232.0
11951,144.0
11952,227.0
11953,250.0
11954,349.0
11955,67.0
11956,12.0
11957,24.0
11958,50.0
11959,126.0
11960,48.0
11961,167.0
11962,44.0
11963,435.0
11964,91.0
11965,56.0
11967,542.0
11968,977.0
11970,11.0
11971,244.0
11972,72.0
11973,5.0
11975,90.0
11976,178.0
11977,111.0
11978,337.0
11980,215.0
12007,4.0
12008,12.0
12009,176.0
12010,706.0
12015,60.0
12017,8.0
12018,106.0
12019,216.0
12020,764.0
12022,17.0
12023,18.0
12024,3.0
12025,94.0
12027,110.0
12028,15.0
12029,39.0
12031,
12032,19.0
12033,174.0
12035,9.0
12036,5.0
12037,153.0
12040,
12041,8.0
12042,3.0
12043,210.0
12045,10.0
12046,7.0
12047,367.0
12051,67.0
12052,19.0
12053,61.0
12054,352.0
12056,63.0
12057,15.0
12058,17.0
12059,16.0
12060,31.0
12061,241.0
12062,17.0
12063,8.0
12064,4.0
12065,1318.0
12066,34.0
12067,29.0
12068,63.0
12069,
12070,18.0
12071,
12072,60.0
12074,54.0
12075,92.0
12076,27.0
12077,195.0
12078,420.0
12082,5.0
12083,99.0
12084,172.0
12085,35.0
12086,28.0
12087,18.0
12090,101.0
12092,14.0
12093,18.0
12094,18.0
12095,352.0
12106,69.0
12108,16.0
12110,1210.0
12115,
12116,13.0
12117,63.0
12118,236.0
12120,4.0
12121,23.0
12122,72.0
12123,84.0
12124,7.0
12125,40.0
12130,8.0
12131,
12132,8.0
12134,90.0
12136,33.0
12137,25.0
12138,19.0
12139,6.0
12140,18.0
12143,101.0
12144,408.0
12147,9.0
12148,64.0
12149,30.0
12150,12.0
12151,34.0
12153,12.0
12154,61.0
12155,16.0
12156,16.0
12157,84.0
12158,95.0
12159,144.0
12160,16.0
12161,
12164,31.0
12165,12.0
12166,20.0
12167,62.0
12168,27.0
12169,9.0
12170,64.0
12172,5.0
12173,20.0
12174,5.0
12175,5.0
12176,
12177,7.0
12180,1200.0
12182,194.0
12183,80.0
12184,160.0
12185,18.0
12186,113.0
12187,4.0
12188,153.0
12189,271.0
12190,4.0
12192,79.0
12193,27.0
12194,3.0
12195,10.0
12196,56.0
12197,25.0
12198,110.0
12202,169.0
12203,880.0
12204,290.0
12205,1751.0
12206,530.0
12207,712.0
12208,360.0
12209,116.0
12210,364.0
12211,338.0
12222,38.0
12226,3.0
12302,544.0
12303,467.0
12304,422.0
12305,363.0
12306,466.0
12307,105.0
12308,208.0
12309,437.0
12401,1459.0
12404,90.0
12405,5.0
12406,25.0
12407,14.0
12409,25.0
12410,16.0
12411,7.0
12412,25.0
12413,100.0
12414,312.0
12416,3.0
12417,7.0
12418,11.0
12419,15.0
12420,5.0
12421,7.0
12422,7.0
12423,21.0
12424,8.0
12427,6.0
12428,156.0
12429,13.0
12430,31.0
12431,18.0
12432,12.0
12433,5.0
12434,20.0
12435,11.0
12436,17.0
12438,5.0
12439,11.0
12440,58.0
12441,4.0
12442,35.0
12443,57.0
12444,9.0
12446,114.0
12448,8.0
12449,88.0
12450,5.0
12451,25.0
12452,5.0
12453,6.0
12454,4.0
12455,64.0
12456,3.0
12457,21.0
12458,23.0
12459,
12460,8.0
12461,33.0
12463,21.0
12464,39.0
12465,8.0
12466,56.0
12468,38.0
12469,8.0
12470,9.0
12471,4.0
12472,68.0
12473,15.0
12474,32.0
12475,7.0
12477,497.0
12480,12.0
12481,29.0
12482,14.0
12483,3.0
12484,109.0
12485,51.0
12486,10.0
12487,45.0
12489,12.0
12490,
12491,53.0
12492,6.0
12493,14.0
12494,15.0
12495,14.0
12496,94.0
12498,220.0
12501,75.0
12502,31.0
12503,18.0
12504,5.0
12507,7.0
12508,456.0
12512,
12513,37.0
12514,58.0
12515,29.0
12516,38.0
12517,10.0
12518,141.0
12520,63.0
12521,41.0
12522,92.0
12523,23.0
12524,573.0
12525,120.0
12526,118.0
12527,6.0
12528,360.0
12529,72.0
12530,
12531,71.0
12533,575.0
12534,661.0
12538,291.0
12540,198.0
12542,133.0
12543,39.0
12544,4.0
12545,189.0
12546,116.0
12547,71.0
12548,32.0
12549,333.0
12550,1544.0
12553,670.0
12561,559.0
12563,173.0
12564,233.0
12565,34.0
12566,253.0
12567,79.0
12569,209.0
12570,108.0
12571,301.0
12572,406.0
12574,9.0
12575,59.0
12577,34.0
12578,68.0
12580,73.0
12581,66.0
12582,71.0
12583,66.0
12585,23.0
12586,232.0
12589,215.0
12590,846.0
12592,25.0
12594,82.0
12601,1284.0
12603,950.0
12604,8.0
12701,434.0
12719,36.0
12720,19.0
12721,117.0
12722,
12723,75.0
12724,4.0
12725,8.0
12726,27.0
12729,28.0
12732,20.0
12733,31.0
12734,38.0
12736,4.0
12737,31.0
12738,4.0
12740,32.0
12741,6.0
12742,24.0
12743,3.0
12745,6.0
12746,10.0
12747,34.0
12748,59.0
12749,15.0
12750,7.0
12751,12.0
12752,3.0
12754,229.0
12758,91.0
12759,53.0
12760,9.0
12762,22.0
12763,25.0
12764,63.0
12765,11.0
12766,5.0
12767,
12768,21.0
12769,
12770,8.0
12771,286.0
12775,57.0
12776,49.0
12777,19.0
12778,7.0
12779,70.0
12780,24.0
12781,
12783,30.0
12784,4.0
12785,9.0
12786,28.0
12787,8.0
12788,53.0
12789,51.0
12790,69.0
12791,15.0
12792,7.0
12801,535.0
12803,155.0
12804,819.0
12808,6.0
12809,52.0
12810,
12811,3.0
12812,12.0
12814,85.0
12815,24.0
12816,99.0
12817,74.0
12819,
12820,5.0
12821,
12822,94.0
12823,3.0
12824,29.0
12827,63.0
12828,155.0
12831,251.0
12832,98.0
12833,76.0
12834,181.0
12835,32.0
12836,17.0
12837,4.0
12838,6.0
12839,236.0
12841,5.0
12842,33.0
12843,9.0
12844,7.0
12845,342.0
12846,66.0
12847,32.0
12849,15.0
12850,43.0
12851,10.0
12852,12.0
12853,51.0
12854,
12855,8.0
12856,10.0
12857,10.0
12858,
12859,16.0
12860,14.0
12861,7.0
12862,
12863,4.0
12864,
12865,57.0
12866,1556.0
12870,63.0
12871,90.0
12872,
12873,9.0
12874,6.0
12878,6.0
12883,124.0
12884,
12885,112.0
12886,6.0
12887,80.0
12901,1032.0
12903,63.0
12910,16.0
12911,
12912,44.0
12913,14.0
12914,
12915,3.0
12916,23.0
12917,18.0
12918,22.0
12919,123.0
12920,32.0
12921,45.0
12922,
12923,5.0
12924,4.0
12926,15.0
12927,4.0
12928,29.0
12929,24.0
12930,6.0
12932,57.0
12933,
12934,10.0
12935,13.0
12936,25.0
12937,20.0
12939,3.0
12941,28.0
12942,38.0
12943,28.0
12944,91.0
12945,14.0
12946,352.0
12950,17.0
12952,
12953,318.0
12955,5.0
12956,10.0
12957,20.0
12958,23.0
12959,6.0
12960,8.0
12961,
12962,53.0
12964,
12965,10.0
12966,26.0
12967,10.0
12969,
12970,13.0
12972,74.0
12973,
12974,46.0
12975,
12976,6.0
12977,14.0
12978,4.0
12979,48.0
12980,16.0
12981,20.0
12983,278.0
12985,15.0
12986,139.0
12987,8.0
12989,10.0
12992,67.0
12993,56.0
12996,46.0
12997,49.0
12998,
13020,
13021,943.0
13024,
13026,38.0
13027,502.0
13028,15.0
13029,121.0
13030,53.0
13031,348.0
13032,196.0
13033,59.0
13034,14.0
13035,213.0
13036,202.0
13037,149.0
13039,461.0
13040,33.0
13041,138.0
13042,21.0
13044,44.0
13045,685.0
13051,
13052,29.0
13053,96.0
13054,20.0
13057,1026.0
13060,65.0
13061,13.0
13062,
13063,24.0
13065,3.0
13066,403.0
13068,74.0
13069,436.0
13071,19.0
13072,5.0
13073,81.0
13074,53.0
13076,32.0
13077,116.0
13078,164.0
13080,47.0
13081,22.0
13082,49.0
13083,23.0
13084,82.0
13087,3.0
13088,599.0
13090,529.0
13092,32.0
13101,27.0
13102,6.0
13103,3.0
13104,329.0
13108,125.0
13110,28.0
13111,19.0
13112,22.0
13113,
13114,103.0
13115,6.0
13116,40.0
13117,7.0
13118,96.0
13119,
13120,28.0
13121,6.0
13122,18.0
13123,4.0
13124,
13126,679.0
13131,65.0
13132,30.0
13134,
13135,115.0
13136,
13138,10.0
13140,58.0
13141,14.0
13142,174.0
13143,36.0
13144,9.0
13145,23.0
13146,25.0
13147,10.0
13148,223.0
13152,279.0
13153,19.0
13154,
13155,8.0
13156,26.0
13157,26.0
13158,16.0
13159,115.0
13160,38.0
13162,9.0
13163,15.0
13164,44.0
13165,261.0
13166,85.0
13167,56.0
13202,768.0
13203,285.0
13204,652.0
13205,219.0
13206,561.0
13207,81.0
13208,397.0
13209,288.0
13210,453.0
13211,207.0
13212,580.0
13214,361.0
13215,184.0
13219,314.0
13224,170.0
13244,14.0
13290,79.0
13301,9.0
13302,9.0
13303,5.0
13304,67.0
13305,13.0
13308,44.0
13309,133.0
13310,22.0
13312,9.0
13313,13.0
13314,11.0
13315,11.0
13316,121.0
13317,60.0
13318,12.0
13319,24.0
13320,35.0
13321,8.0
13322,21.0
13323,248.0
13324,15.0
13325,16.0
13326,194.0
13327,41.0
13328,20.0
13329,57.0
13331,15.0
13332,32.0
13333,
13334,13.0
13335,31.0
13337,20.0
13338,17.0
13339,91.0
13340,129.0
13342,
13343,19.0
13345,
13346,146.0
13348,27.0
13350,252.0
13352,
13353,
13354,46.0
13355,9.0
13357,115.0
13360,36.0
13361,11.0
13363,16.0
13364,
13365,152.0
13367,228.0
13368,29.0
13402,21.0
13403,129.0
13404,5.0
13406,8.0
13407,56.0
13408,58.0
13409,34.0
13410,14.0
13411,45.0
13413,662.0
13415,
13416,38.0
13417,70.0
13418,
13420,119.0
13421,332.0
13424,73.0
13425,24.0
13428,44.0
13431,39.0
13433,19.0
13435,8.0
13436,9.0
13437,5.0
13438,46.0
13439,71.0
13440,684.0
13441,81.0
13450,4.0
13452,61.0
13454,10.0
13455,8.0
13456,46.0
13457,
13459,34.0
13460,86.0
13461,52.0
13464,12.0
13468,9.0
13469,10.0
13470,5.0
13471,25.0
13472,22.0
13473,16.0
13475,3.0
13476,61.0
13477,13.0
13478,46.0
13480,59.0
13482,
13483,
13484,
13485,5.0
13486,10.0
13488,
13489,9.0
13490,46.0
13491,46.0
13492,174.0
13493,24.0
13494,4.0
13495,104.0
13501,654.0
13502,768.0
13601,1186.0
13602,41.0
13603,5.0
13605,86.0
13606,43.0
13607,122.0
13608,13.0
13611,3.0
13612,27.0
13613,17.0
13614,6.0
13615,15.0
13616,19.0
13617,241.0
13618,44.0
13619,152.0
13620,23.0
13621,
13622,37.0
13623,
13624,188.0
13625,24.0
13626,31.0
13628,
13630,16.0
13632,7.0
13633,
13634,47.0
13635,11.0
13636,7.0
13637,77.0
13638,8.0
13639,5.0
13640,18.0
13641,
13642,191.0
13643,6.0
13645,
13646,38.0
13647,7.0
13648,30.0
13649,
13650,19.0
13651,10.0
13652,10.0
13654,28.0
13655,28.0
13656,34.0
13658,12.0
13659,4.0
13660,26.0
13661,29.0
13662,319.0
13664,10.0
13665,7.0
13666,
13667,35.0
13668,46.0
13669,292.0
13670,3.0
13672,10.0
13673,34.0
13674,
13675,3.0
13676,328.0
13678,3.0
13679,25.0
13680,10.0
13681,8.0
13682,9.0
13683,
13684,6.0
13685,35.0
13687,6.0
13690,15.0
13691,33.0
13692,6.0
13693,4.0
13694,31.0
13695,3.0
13696,3.0
13697,19.0
13699,12.0
13730,39.0
13731,36.0
13732,106.0
13733,88.0
13734,9.0
13736,12.0
13738,
13739,10.0
13740,18.0
13743,46.0
13744,11.0
13746,20.0
13747,5.0
13748,73.0
13750,15.0
13751,7.0
13752,8.0
13753,207.0
13754,75.0
13755,21.0
13756,9.0
13757,13.0
13760,705.0
13774,
13775,35.0
13776,10.0
13777,7.0
13778,110.0
13780,9.0
13782,21.0
13783,68.0
13784,4.0
13786,4.0
13787,41.0
13788,29.0
13790,480.0
13795,55.0
13796,15.0
13797,19.0
13801,6.0
13802,20.0
13803,57.0
13804,8.0
13806,
13807,40.0
13808,33.0
13809,15.0
13810,12.0
13811,49.0
13812,31.0
13813,14.0
13814,4.0
13815,349.0
13820,638.0
13825,43.0
13826,
13827,307.0
13830,52.0
13832,4.0
13833,30.0
13834,
13835,14.0
13838,132.0
13839,12.0
13841,6.0
13842,8.0
13843,18.0
13844,
13846,6.0
13847,
13849,48.0
13850,691.0
13856,126.0
13859,
13860,
13861,10.0
13862,75.0
13863,
13864,4.0
13865,80.0
13901,571.0
13902,51.0
13903,257.0
13904,227.0
13905,533.0
14001,192.0
14004,216.0
14005,22.0
14006,160.0
14008,16.0
14009,151.0
14011,96.0
14012,28.0
14013,19.0
14020,660.0
14024,19.0
14025,52.0
14026,46.0
14027,11.0
14028,15.0
14029,
14030,49.0
14031,305.0
14032,190.0
14033,47.0
14034,21.0
14035,3.0
14036,79.0
14037,17.0
14039,
14040,35.0
14041,
14042,48.0
14043,667.0
14047,122.0
14048,317.0
14051,443.0
14052,487.0
14054,13.0
14055,21.0
14056,11.0
14057,145.0
14058,25.0
14059,284.0
14060,5.0
14061,6.0
14062,35.0
14063,276.0
14065,15.0
14066,18.0
14067,82.0
14068,243.0
14069,18.0
14070,110.0
14072,418.0
14075,902.0
14080,90.0
14081,70.0
14082,9.0
14083,4.0
14085,74.0
14086,592.0
14091,5.0
14092,256.0
14094,1119.0
14098,40.0
14101,16.0
14102,13.0
14103,243.0
14105,66.0
14108,87.0
14109,4.0
14111,60.0
14112,
14113,16.0
14120,830.0
14125,44.0
14126,19.0
14127,938.0
14129,6.0
14130,7.0
14131,75.0
14132,142.0
14134,19.0
14135,10.0
14136,80.0
14138,21.0
14139,36.0
14141,245.0
14143,25.0
14145,30.0
14150,1092.0
14166,
14167,24.0
14168,
14169,6.0
14170,49.0
14171,30.0
14172,59.0
14173,30.0
14174,95.0
14201,232.0
14202,784.0
14203,568.0
14204,205.0
14206,435.0
14207,503.0
14208,102.0
14209,261.0
14210,315.0
14211,239.0
14212,180.0
14213,311.0
14214,344.0
14215,452.0
14216,468.0
14217,515.0
14218,310.0
14219,367.0
14220,284.0
14221,2452.0
14222,328.0
14223,335.0
14224,930.0
14225,1199.0
14226,922.0
14227,431.0
14228,699.0
14260,16.0
14261,10.0
14301,255.0
14302,15.0
14303,192.0
14304,898.0
14305,230.0
14411,222.0
14413,3.0
14414,196.0
14415,
14416,74.0
14418,25.0
14420,376.0
14422,21.0
14423,75.0
14424,795.0
14425,211.0
14427,32.0
14428,122.0
14432,91.0
14433,64.0
14435,27.0
14437,192.0
14441,14.0
14445,269.0
14450,928.0
14453,14.0
14454,223.0
14456,513.0
14462,4.0
14463,8.0
14464,73.0
14466,24.0
14467,192.0
14468,256.0
14469,126.0
14470,102.0
14471,55.0
14472,197.0
14475,5.0
14476,25.0
14477,19.0
14478,15.0
14479,4.0
14480,51.0
14481,27.0
14482,178.0
14485,96.0
14486,6.0
14487,86.0
14489,119.0
14502,223.0
14504,36.0
14505,61.0
14506,64.0
14507,27.0
14510,100.0
14511,9.0
14512,113.0
14513,292.0
14514,87.0
14515,4.0
14516,23.0
14517,43.0
14519,253.0
14521,62.0
14522,184.0
14525,43.0
14526,424.0
14527,351.0
14529,
14530,118.0
14532,84.0
14533,24.0
14534,887.0
14536,13.0
14537,
14539,6.0
14541,26.0
14542,4.0
14543,78.0
14544,25.0
14545,
14546,99.0
14548,60.0
14549,3.0
14550,24.0
14551,101.0
14555,29.0
14556,
14557,
14559,365.0
14560,25.0
14561,37.0
14564,722.0
14568,83.0
14569,165.0
14571,11.0
14572,67.0
14580,1222.0
14585,7.0
14586,162.0
14588,
14589,137.0
14590,89.0
14591,24.0
14592,6.0
14604,443.0
14605,238.0
14606,687.0
14607,756.0
14608,269.0
14609,580.0
14610,315.0
14611,352.0
14612,426.0
14613,184.0
14614,314.0
14615,362.0
14616,314.0
14617,310.0
14618,847.0
14619,99.0
14620,494.0
14621,499.0
14622,237.0
14623,1446.0
14624,1122.0
14625,462.0
14626,774.0
14627,7.0
14642,9.0
14701,857.0
14706,93.0
14707,
14708,
14709,25.0
14710,48.0
14711,23.0
14712,57.0
14714,
14715,42.0
14716,25.0
14717,5.0
14718,31.0
14719,34.0
14720,7.0
14721,
14722,33.0
14723,17.0
14724,39.0
14726,6.0
14727,97.0
14728,15.0
14729,12.0
14731,112.0
14732,3.0
14733,127.0
14735,37.0
14736,23.0
14737,53.0
14738,50.0
14739,25.0
14740,15.0
14741,31.0
14742,
14743,17.0
14744,15.0
14747,20.0
14748,9.0
14750,201.0
14752,8.0
14753,15.0
14754,3.0
14755,36.0
14756,5.0
14757,96.0
14760,572.0
14767,22.0
14769,8.0
14770,43.0
14772,56.0
14774,
14775,26.0
14777,14.0
14778,3.0
14779,139.0
14781,31.0
14782,20.0
14783,8.0
14784,5.0
14785,5.0
14787,136.0
14788,8.0
14801,56.0
14802,37.0
14803,22.0
14804,12.0
14805,8.0
14806,27.0
14807,46.0
14808,4.0
14809,41.0
14810,267.0
14812,29.0
14813,51.0
14814,62.0
14815,8.0
14816,7.0
14817,24.0
14818,26.0
14819,
14820,4.0
14821,35.0
14822,16.0
14823,45.0
14824,14.0
14825,12.0
14826,29.0
14827,3.0
14830,460.0
