County,SAIDI,FIPS,State
Accomack,0,51001,Virginia
Amelia,354,51007,Virginia
Amherst,397.985,51009,Virginia
Arlington,0,51013,Virginia
Augusta,507,51907,Virginia
Bedford,386.277,51909,Virginia
Botetourt,390.4,51023,Virginia
Bristol,233.971,51953,Virginia
Brunswick,309.512,51025,Virginia
Campbell,392.201,51911,Virginia
Caroline,350.13,51033,Virginia
Carroll,390.4,51913,Virginia
Charles City,0,51036,Virginia
Charlottesville,387.213,51901,Virginia
Chesapeake,0,51550,Virginia
Chesterfield,354,51041,Virginia
Clarke,281.194,51043,Virginia
Clifton Forge,0,51903,Virginia
Colonial Heights,374.759,51918,Virginia
Culpeper,350.13,51047,Virginia
Cumberland,414.459,51049,Virginia
Danville,378.968,51939,Virginia
Emporia,0,51923,Virginia
Essex,350.13,51057,Virginia
Fairfax,0,51964,Virginia
Fauquier,350.13,51061,Virginia
Floyd,390.4,51063,Virginia
Fluvanna,397.985,51065,Virginia
Franklin,390.4,51067,Virginia
Frederick,281.194,51921,Virginia
Giles,390.4,51071,Virginia
Gloucester,0,51073,Virginia
Goochland,378.833,51075,Virginia
Grayson,390.4,51077,Virginia
Greene,309.402,51079,Virginia
Halifax,0,51962,Virginia
Hampton,0,51960,Virginia
Hanover,350.13,51085,Virginia
Henrico,0,51087,Virginia
Henry,390.4,51929,Virginia
Hopewell,374.759,51941,Virginia
Isle of Wight,474.23,51093,Virginia
James City,0,51931,Virginia
King George,0,51099,Virginia
King William,350.13,51101,Virginia
Lancaster,0,51103,Virginia
Loudoun,0,51107,Virginia
Louisa,378.833,51109,Virginia
Madison,350.13,51113,Virginia
Manassas,0,51942,Virginia
Mecklenburg,309.512,51117,Virginia
Nelson,364.24,51125,Virginia
New Kent,0,51127,Virginia
Norfolk,0,51966,Virginia
Northampton,0,51131,Virginia
Northumberland,0,51133,Virginia
Nottoway,354,51135,Virginia
Orange,378.833,51137,Virginia
Page,281.194,51139,Virginia
Patrick,390.4,51141,Virginia
Powhatan,354,51145,Virginia
Prince Edward,414.459,51147,Virginia
Pulaski,390.4,51155,Virginia
Radford,390.4,51933,Virginia
Rappahannock,350.13,51157,Virginia
Richmond,0,51159,Virginia
Richmond,0,51760,Virginia
Roanoke,385.794,51968,Virginia
Rockbridge,0,51945,Virginia
Rockingham,281.194,51947,Virginia
Shenandoah,281.194,51171,Virginia
Smyth,390.4,51173,Virginia
Southampton,296.105,51949,Virginia
Spotsylvania,350.13,51951,Virginia
Stafford,350.13,51179,Virginia
Suffolk,0,51800,Virginia
Surry,474.23,51181,Virginia
Sussex,329.11,51183,Virginia
Tazewell,390.4,51185,Virginia
Virginia Beach,0,51810,Virginia
Warren,281.194,51187,Virginia
Westmoreland,0,51193,Virginia
Wise,377.363,51955,Virginia
Wythe,390.4,51197,Virginia
